time,left ear,left forehead,right forehead,right ear
0,-13.443,-1.1961,4.9684,-11.04
1.6812,12.877,3.7388,1.6785,8.6997
1.6857,16.167,0.44883,1.6785,20.215
1.6902,14.522,0.44883,0.033493,13.635
1.6947,16.167,3.7388,0.033493,10.345
1.6992,11.232,-1.1961,0.033493,23.505
1.7038,3.0071,-2.8411,1.6785,16.925
1.7083,4.6521,2.0938,0.033493,8.6997
1.7128,21.102,0.44883,3.3234,13.635
1.7173,21.102,-2.8411,6.6134,18.57
1.7218,12.877,-2.8411,6.6134,18.57
1.7264,1.3621,-11.066,8.2583,13.635
1.7309,-0.28286,-4.4861,4.9684,-2.8151
1.7354,19.457,7.0288,4.9684,3.7648
1.7399,19.457,0.44883,4.9684,11.99
1.7444,11.232,-2.8411,3.3234,11.99
1.7489,11.232,-2.8411,4.9684,8.6997
1.7535,17.812,2.0938,4.9684,5.4098
1.758,16.167,-1.1961,4.9684,8.6997
1.7625,16.167,-2.8411,1.6785,7.0548
1.767,12.877,-7.7761,1.6785,8.6997
1.7715,6.297,-7.7761,1.6785,-2.8151
1.7761,3.0071,-4.4861,4.9684,-6.1051
1.7806,-0.28286,-4.4861,3.3234,2.1198
1.7851,-5.2178,-6.1311,1.6785,5.4098
1.7896,-0.28286,-2.8411,1.6785,8.6997
1.7941,1.3621,-4.4861,1.6785,8.6997
1.7987,-0.28286,-9.421,3.3234,0.47489
1.8032,-8.5078,-12.711,1.6785,-15.975
1.8077,-13.443,-7.7761,0.033493,-24.2
1.8122,4.6521,3.7388,0.033493,-7.75
1.8167,21.102,3.7388,1.6785,15.28
1.8213,24.392,0.44883,6.6134,23.505
1.8258,19.457,0.44883,6.6134,16.925
1.8303,7.9421,-6.1311,6.6134,7.0548
1.8348,4.6521,-1.1961,4.9684,3.7648
1.8393,11.232,3.7388,1.6785,8.6997
1.8439,12.877,0.44883,4.9684,13.635
1.8484,14.522,0.44883,3.3234,8.6997
1.8529,14.522,-1.1961,3.3234,7.0548
1.8574,14.522,0.44883,3.3234,11.99
1.8619,9.587,-2.8411,3.3234,11.99
1.8664,-0.28286,-1.1961,4.9684,-4.46
1.871,-0.28286,0.44883,4.9684,-9.395
1.8755,-8.5078,2.0938,0.033493,-19.265
1.88,-0.28286,7.0288,-3.2565,-14.33
1.8845,6.297,2.0938,-1.6115,3.7648
1.889,1.3621,0.44883,-3.2565,3.7648
1.8936,4.6521,0.44883,0.033493,11.99
1.8981,4.6521,-1.1961,-3.2565,13.635
1.9026,7.9421,-1.1961,-1.6115,13.635
1.9071,4.6521,-2.8411,0.033493,3.7648
1.9116,4.6521,2.0938,-1.6115,-7.75
1.9162,14.522,2.0938,0.033493,7.0548
1.9207,11.232,-1.1961,-3.2565,5.4098
1.9252,21.102,2.0938,-4.9015,8.6997
1.9297,24.392,-1.1961,0.033493,16.925
1.9342,26.037,-1.1961,0.033493,16.925
1.9388,17.812,-6.1311,3.3234,20.215
1.9433,4.6521,-6.1311,0.033493,8.6997
1.9478,6.297,-2.8411,-4.9015,-4.46
1.9523,12.877,0.44883,-3.2565,-4.46
1.9568,11.232,-4.4861,-3.2565,2.1198
1.9614,6.297,-7.7761,-1.6115,2.1198
1.9659,4.6521,-1.1961,-3.2565,-2.8151
1.9704,9.587,0.44883,-3.2565,0.47489
1.9749,11.232,-1.1961,0.033493,3.7648
1.9794,12.877,2.0938,-1.6115,8.6997
1.9839,4.6521,-1.1961,-3.2565,8.6997
1.9885,-1.9278,2.0938,-1.6115,-1.1701
1.993,3.0071,0.44883,1.6785,5.4098
1.9975,9.587,0.44883,6.6134,3.7648
2.002,12.877,0.44883,6.6134,10.345
2.0065,3.0071,-11.066,4.9684,10.345
2.0111,-3.5728,-14.356,6.6134,7.0548
2.0156,-10.153,-17.646,8.2583,3.7648
2.0201,-18.378,-16.001,6.6134,-4.46
2.0246,-15.088,-9.421,8.2583,-2.8151
2.0291,-8.5078,-11.066,4.9684,-2.8151
2.0337,-3.5728,-11.066,4.9684,3.7648
2.0382,-5.2178,-12.711,3.3234,7.0548
2.0427,-13.443,-14.356,3.3234,0.47489
2.0472,-8.5078,-9.421,0.033493,2.1198
2.0517,-6.8628,-11.066,3.3234,2.1198
2.0563,-3.5728,-6.1311,6.6134,5.4098
2.0608,-1.9278,-6.1311,3.3234,7.0548
2.0653,-3.5728,-9.421,3.3234,5.4098
2.0698,-6.8628,-12.711,1.6785,-2.8151
2.0743,-6.8628,-7.7761,-1.6115,-14.33
2.0789,-10.153,-9.421,-1.6115,-19.265
2.0834,-1.9278,-6.1311,1.6785,-12.685
2.0879,7.9421,-4.4861,1.6785,-1.1701
2.0924,3.0071,-9.421,3.3234,0.47489
2.0969,-0.28286,-9.421,3.3234,-6.1051
2.1014,1.3621,-6.1311,1.6785,-4.46
2.106,-3.5728,-9.421,0.033493,2.1198
2.1105,-10.153,-11.066,0.033493,0.47489
2.115,-15.088,-16.001,4.9684,-7.75
2.1195,-20.023,-16.001,3.3234,-27.49
2.124,-20.023,-11.066,1.6785,-32.425
2.1286,-11.798,-6.1311,1.6785,-22.555
2.1331,-8.5078,-7.7761,4.9684,-4.46
2.1376,-10.153,-6.1311,3.3234,-2.8151
2.1421,-0.28286,-2.8411,1.6785,7.0548
2.1466,6.297,-2.8411,1.6785,15.28
2.1512,7.9421,-2.8411,3.3234,21.86
2.1557,3.0071,-4.4861,3.3234,18.57
2.1602,-3.5728,-7.7761,4.9684,13.635
2.1647,-15.088,-7.7761,4.9684,-2.8151
2.1692,-16.733,-6.1311,4.9684,-11.04
2.1738,-18.378,-7.7761,6.6134,-12.685
2.1783,-20.023,-7.7761,4.9684,-17.62
2.1828,-11.798,-6.1311,3.3234,-6.1051
2.1873,-0.28286,0.44883,0.033493,0.47489
2.1918,9.587,0.44883,0.033493,13.635
2.1964,14.522,2.0938,-4.9015,13.635
2.2009,30.972,5.3838,-6.5465,16.925
2.2054,22.747,-2.8411,0.033493,20.215
2.2099,19.457,2.0938,0.033493,15.28
2.2144,14.522,-2.8411,3.3234,20.215
2.2189,3.0071,-4.4861,3.3234,10.345
2.2235,1.3621,-2.8411,3.3234,0.47489
2.228,3.0071,0.44883,3.3234,-1.1701
2.2325,19.457,5.3838,4.9684,8.6997
2.237,26.037,3.7388,3.3234,13.635
2.2415,22.747,2.0938,4.9684,16.925
2.2461,21.102,3.7388,3.3234,10.345
2.2506,21.102,5.3838,1.6785,10.345
2.2551,16.167,0.44883,3.3234,15.28
2.2596,1.3621,-4.4861,3.3234,3.7648
2.2641,-10.153,-6.1311,6.6134,-4.46
2.2687,-16.733,-2.8411,4.9684,-14.33
2.2732,-18.378,-2.8411,4.9684,-20.91
2.2777,-8.5078,2.0938,6.6134,-17.62
2.2822,-6.8628,2.0938,6.6134,-9.395
2.2867,-8.5078,2.0938,3.3234,-6.1051
2.2913,-8.5078,5.3838,0.033493,-1.1701
2.2958,-3.5728,0.44883,0.033493,8.6997
2.3003,7.9421,0.44883,1.6785,16.925
2.3048,14.522,3.7388,3.3234,21.86
2.3093,12.877,-1.1961,1.6785,18.57
2.3139,17.812,2.0938,1.6785,20.215
2.3184,24.392,5.3838,1.6785,21.86
2.3229,19.457,2.0938,6.6134,25.15
2.3274,4.6521,-1.1961,6.6134,25.15
2.3319,-5.2178,-1.1961,1.6785,11.99
2.3364,-10.153,-6.1311,0.033493,-9.395
2.341,-11.798,-2.8411,-3.2565,-24.2
2.3455,-8.5078,-1.1961,-1.6115,-24.2
2.35,-13.443,-6.1311,-1.6115,-22.555
2.3545,-13.443,-2.8411,-1.6115,-22.555
2.359,-10.153,-1.1961,-1.6115,-22.555
2.3636,-5.2178,-1.1961,0.033493,-14.33
2.3681,-5.2178,-2.8411,0.033493,-11.04
2.3726,-11.798,-2.8411,-3.2565,-14.33
2.3771,-10.153,-1.1961,0.033493,-6.1051
2.3816,-10.153,-4.4861,-1.6115,-14.33
2.3862,-6.8628,-4.4861,-1.6115,-17.62
2.3907,-8.5078,-4.4861,-3.2565,-11.04
2.3952,-11.798,-2.8411,-3.2565,-14.33
2.3997,-11.798,-2.8411,-1.6115,-11.04
2.4042,-8.5078,-2.8411,-1.6115,-11.04
2.4088,-5.2178,-1.1961,-1.6115,-7.75
2.4133,-0.28286,0.44883,-1.6115,-2.8151
2.4178,-0.28286,-1.1961,-3.2565,-1.1701
2.4223,-6.8628,-1.1961,-6.5465,-1.1701
2.4268,1.3621,2.0938,-8.1914,2.1198
2.4314,11.232,2.0938,-3.2565,18.57
2.4359,9.587,2.0938,-1.6115,20.215
